Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,14/02/2018 08:47:15,474926,5,3,220,472,220,0,44.0,98.38699101,472,0,157.3333333333,272.5093270575,1457.0691012916,16.8447294947,67846.5714285714,115645.740842248,237162,15,474926,118731.5,136923.365842601,237497,15,237732,118866.0,167663.503100705,237422,310,0,0,0,0,168,104,10.5279559342,6.3167735605,0,472,76.8888888889,165.0669897681,27247.1111111111,0,0,0,1,0,0,0,0,0,86.5,44.0,157.3333333333,0,0,0,0,0,0,5,220,3,472,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:16,477471,5,3,209,461,209,0,41.8,93.4676414595,461,0,153.6666666667,266.1584740964,1403.2265833946,16.7549442793,68210.1428571429,116178.228792989,238389,17,477471,119367.75,137516.508224467,238515,149,238887,119443.5,168454.755588852,238559,328,0,0,0,0,168,104,10.4718401746,6.2831041048,0,461,74.4444444444,160.5942955954,25790.5277777778,0,0,0,1,0,0,0,0,0,83.75,41.8,153.6666666667,0,0,0,0,0,0,5,209,3,461,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:16,512758,5,3,211,463,211,0,42.2,94.3620686505,463,0,154.3333333333,267.3131746348,1314.4602327024,15.6019018718,73251.1428571429,124959.473740394,256188,10,512758,128189.5,148006.106082373,256523,10,256563,128281.5,180935.190276795,256222,341,0,0,0,0,168,104,9.7511886699,5.8507132019,0,463,74.8888888889,161.4058893322,26051.8611111111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:17,476711,5,3,206,458,206,0,41.2,92.126000673,458,0,152.6666666667,264.4264232888,1392.8774456641,16.7816559719,68101.5714285714,115977.215079597,238034,16,476711,119177.75,137207.36560009,238274,78,238033,119016.5,168007.864103143,237816,217,0,0,0,0,168,104,10.4885349824,6.2931209894,0,458,73.7777777778,159.3783060659,25401.4444444444,0,0,0,1,0,0,0,0,0,83.0,41.2,152.6666666667,0,0,0,0,0,0,5,206,3,458,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:17,476616,5,3,211,463,211,0,42.2,94.3620686505,463,0,154.3333333333,267.3131746348,1414.1363277775,16.7850009232,68088.0,115553.073301117,237285,8,476616,119154.0,136576.972942001,237558,8,237660,118830.0,167563.093937776,237315,345,0,0,0,0,168,104,10.490625577,6.2943753462,0,463,74.8888888889,161.4058893322,26051.8611111111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:18,477161,5,3,211,463,211,0,42.2,94.3620686505,463,0,154.3333333333,267.3131746348,1412.5211406632,16.7658295628,68165.8571428572,116324.530541969,238504,12,477161,119290.25,137729.560342905,238719,12,238618,119309.0,168449.805841384,238421,197,0,0,0,0,168,104,10.4786434767,6.287186086,0,463,74.8888888889,161.4058893322,26051.8611111111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:18,474670,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1432.5742094508,16.8538142288,67810.0,115371.262364883,236717,15,474670,118667.5,136423.221362787,236894,55,236992,118496.0,167297.22178805,236793,199,0,0,0,0,168,104,10.533633893,6.3201803358,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:19,476608,5,3,209,461,209,0,41.8,93.4676414595,461,0,153.6666666667,266.1584740964,1405.7674231234,16.7852826642,68086.8571428572,116165.357657993,238154,21,476608,119152.0,137536.399945614,238349,28,238442,119221.0,168305.556058022,238231,211,0,0,0,0,168,104,10.4908016651,6.2944809991,0,461,74.4444444444,160.5942955954,25790.5277777778,0,0,0,1,0,0,0,0,0,83.75,41.8,153.6666666667,0,0,0,0,0,0,5,209,3,461,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:19,479249,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1423.0598290242,16.6927839182,68464.1428571429,116522.185511928,239061,18,479249,119812.25,137797.592674606,239270,21,239238,119619.0,168903.768394906,239052,186,0,0,0,0,168,104,10.4329899489,6.2597939693,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:20,475967,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1432.8724470394,16.8078879418,67995.2857142857,115929.081086548,237703,16,475967,118991.75,137195.538016305,237904,21,237915,118957.5,167975.337191208,237734,181,0,0,0,0,168,104,10.5049299636,6.3029579782,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:20,477314,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1428.8288212791,16.7604553816,68187.7142857143,116366.29740567,238580,6,477314,119328.5,137774.255467655,238694,6,238799,119399.5,168584.863236591,238607,192,0,0,0,0,168,104,10.4752846135,6.2851707681,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:21,512063,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1331.8673678825,15.6230776291,73151.8571428571,124592.695266655,255566,19,512063,128015.75,147377.937110399,255771,20,256458,128229.0,181088.632448312,256278,180,0,0,0,0,168,104,9.7644235182,5.8586541109,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:21,476789,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1430.4021275659,16.7789105873,68112.7142857143,116221.144692226,238336,10,476789,119197.25,137614.035489057,238389,10,238585,119292.5,168401.015473482,238370,215,0,0,0,0,168,104,10.4868191171,6.2920914702,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:22,530813,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1284.8215850026,15.0712209384,75830.4285714286,129270.254005394,265278,17,530813,132703.25,152977.445148787,265301,17,265518,132759.0,187483.706177364,265330,188,0,0,0,0,168,104,9.4195130865,5.6517078519,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:22,478007,5,3,216,468,216,0,43.2,96.598136628,468,0,156.0,270.1999259807,1430.9413878876,16.7361565835,68286.7142857143,116521.363245421,238871,14,478007,119501.75,137965.090440481,239088,14,239086,119543.0,168784.974455667,238892,194,0,0,0,0,168,104,10.4600978647,6.2760587188,0,468,76.0,163.4380616625,26712.0,0,0,0,1,0,0,0,0,0,85.5,43.2,156.0,0,0,0,0,0,0,5,216,3,468,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:23,477602,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1427.9672195678,16.7503486166,68228.8571428571,116321.495231146,238515,19,477602,119400.5,137657.129222088,238692,19,239063,119531.5,168798.409484509,238890,173,0,0,0,0,168,104,10.4689678854,6.2813807312,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:23,474230,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1438.1207430993,16.869451532,67747.1428571429,115528.096695751,237302,10,474230,118557.5,136770.513309704,237325,10,237572,118786.0,167660.67467358,237340,232,0,0,0,0,168,104,10.5434072075,6.3260443245,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:24,486451,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1397.8797453392,16.4456440628,69493.0,118598.272276623,243823,7,486451,121612.75,140415.116829528,243842,7,244037,122018.5,172295.759624258,243850,187,0,0,0,0,168,104,10.2785275393,6.1671165236,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:25,476455,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1427.207186408,16.7906727813,68065.0,116132.477662366,238080,15,476455,119113.75,137520.55426099,238354,16,238341,119170.5,168195.954506938,238103,238,0,0,0,0,168,104,10.4941704883,6.296502293,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:25,515384,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1323.2851621315,15.5224065939,73626.2857142857,125642.465774533,257553,20,515384,128846.0,148751.429723101,257762,20,257799,128899.5,182015.649438448,257604,195,0,0,0,0,168,104,9.7015041212,5.8209024727,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:26,511506,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1333.3176932431,15.6400902433,73072.2857142857,124689.232076811,256153,9,511506,127876.5,147627.181737195,256171,9,256398,128199.0,180998.122780321,256184,214,0,0,0,0,168,104,9.7750564021,5.8650338412,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:26,525976,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1296.6371089175,15.2098194594,75139.4285714286,128232.121387814,262910,9,525976,131494.0,151822.341265485,263024,9,263149,131574.5,185784.528582172,262944,205,0,0,0,0,168,104,9.5061371622,5.7036822973,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:27,484168,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1404.4711752945,16.5231902976,69166.8571428571,118031.003739736,242059,15,484168,121042.0,139748.210108991,242074,16,242302,121151.0,171044.887728339,242098,204,0,0,0,0,168,104,10.326993936,6.1961963616,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:27,477025,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1425.5018080813,16.7706095068,68146.4285714286,116289.973309334,238387,15,477025,119256.25,137667.743785233,238558,15,238627,119313.5,168494.353568599,238457,170,0,0,0,0,168,104,10.4816309418,6.2889785651,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:28,472066,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1440.4765435342,16.9467828651,67438.0,115085.569938199,235916,12,472066,118016.5,136253.535617735,236120,12,236112,118056.0,166694.766810479,235927,185,0,0,0,0,168,104,10.5917392907,6.3550435744,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:28,475848,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1429.0277567627,16.812091256,67978.2857142857,116005.891829847,237796,7,475848,118962.0,137351.648758457,238002,7,238004,119002.0,168034.027054046,237820,184,0,0,0,0,168,104,10.507557035,6.304534221,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:29,515972,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1317.9009713705,15.5047173102,73710.2857142857,125793.442628136,257920,14,515972,128993.0,148929.869363626,258131,14,258015,129007.5,182179.698211683,257828,187,0,0,0,0,168,104,9.6904483189,5.8142689913,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:29,481116,5,3,207,459,207,0,41.4,92.5732142685,459,0,153.0,265.003773558,1384.2815454069,16.6280065514,68730.8571428572,117104.468901957,240176,10,481116,120279.0,138548.124984305,240383,10,240349,120174.5,169692.192455929,240165,184,0,0,0,0,168,104,10.3925040946,6.2355024568,0,459,74.0,159.7834472028,25530.75,0,0,0,1,0,0,0,0,0,83.25,41.4,153.0,0,0,0,0,0,0,5,207,3,459,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:30,473864,5,3,207,459,207,0,41.4,92.5732142685,459,0,153.0,265.003773558,1405.4665473638,16.8824810494,67694.8571428571,115516.380912591,236821,15,473864,118466.0,136764.500610843,237030,15,236990,118495.0,167315.606564361,236805,185,0,0,0,0,168,104,10.5515506559,6.3309303935,0,459,74.0,159.7834472028,25530.75,0,0,0,1,0,0,0,0,0,83.25,41.4,153.0,0,0,0,0,0,0,5,207,3,459,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:30,473511,5,3,203,455,203,0,40.6,90.7843598865,455,0,151.6666666667,262.6943724813,1389.6192485497,16.8950668517,67644.4285714286,115187.330554561,236286,19,473511,118377.75,136250.664760152,236443,20,237236,118618.0,167495.211686782,237055,181,0,0,0,0,168,104,10.5594167823,6.3356500694,0,455,73.1111111111,158.1640322928,25015.8611111111,0,0,0,1,0,0,0,0,0,82.25,40.6,151.6666666667,0,0,0,0,0,0,5,203,3,455,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:47:31,525965,5,3,207,459,207,0,41.4,92.5732142685,459,0,153.0,265.003773558,1266.2439515937,15.2101375567,75137.8571428571,128229.428665223,262863,13,525965,131491.25,151808.203288173,263035,13,263081,131540.5,185767.558019424,262898,183,0,0,0,0,168,104,9.5063359729,5.7038015838,0,459,74.0,159.7834472028,25530.75,0,0,0,1,0,0,0,0,0,83.25,41.4,153.0,0,0,0,0,0,0,5,207,3,459,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
0,0,14/02/2018 08:45:06,112640196,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266334764,56320098.0,213.5462479183,56320249,56319947,112640196,56320098.0,213.5462479183,56320249,56319947,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266334764,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320098.0,213.5462479183,56320249,56319947,Benign
0,0,14/02/2018 08:47:55,112640430,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266334211,56320215.0,132.9360748631,56320309,56320121,112640430,56320215.0,132.9360748631,56320309,56320121,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266334211,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320215.0,132.9360748631,56320309,56320121,Benign
0,0,14/02/2018 08:50:44,112640904,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633309,56320452.0,45.2548339959,56320484,56320420,112640904,56320452.0,45.2548339959,56320484,56320420,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633309,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320452.0,45.2548339959,56320484,56320420,Benign
0,0,14/02/2018 08:53:33,112641065,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332709,56320532.5,79.9030662741,56320589,56320476,112641065,56320532.5,79.9030662741,56320589,56320476,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332709,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320532.5,79.9030662741,56320589,56320476,Benign
